,code,name,signal,price,date,market_value,daily_amount
600619,600619,海立股份,卖出,18.62,2024-11-08,19985672840.0,1868724937.0
600630,600630,龙头股份,卖出,10.8,2024-11-08,4588505248.0,964979209.0
600641,600641,万业企业,卖出,18.35,2024-11-08,17077059032.0,766689277.0
600702,600702,舍得酒业,卖出,80.33,2024-11-08,26763351621.0,3747393013.0
600760,600760,中航沈飞,卖出,61.07,2024-11-08,168290569259.0,9353495020.0
600779,600779,水井坊,卖出,57.23,2024-11-08,27948922808.0,2084167309.0
600893,600893,航发动力,卖出,47.23,2024-11-08,125896015861.0,2729626343.0
600988,600988,赤峰黄金,买入,17.58,2024-11-08,29251562025.0,1465885503.0
601006,601006,大秦铁路,卖出,6.75,2024-11-08,123242685577.0,762142151.0
601066,601066,中信建投,卖出,30.7,2024-11-08,238130530268.0,4010167757.0
601100,601100,恒立液压,买入,57.11,2024-11-08,76574286853.0,629901025.0
601108,601108,财通证券,卖出,9.06,2024-11-08,42072280359.0,1788552228.0
601126,601126,四方股份,买入,18.81,2024-11-08,15676931160.0,289250370.0
601231,601231,环旭电子,买入,15.54,2024-11-08,34009456371.0,431168598.0
601233,601233,桐昆股份,卖出,12.78,2024-11-08,30814107121.0,724167974.0
601336,601336,新华保险,卖出,55.7,2024-11-08,173758745620.0,3227664845.0
601360,601360,三六零,卖出,10.84,2024-11-08,77455737055.0,4821671212.0
601611,601611,中国核建,卖出,9.48,2024-11-08,28549352919.0,489444583.0
601628,601628,中国人寿,卖出,48.95,2024-11-08,1383557309750.0,1703127087.0
601669,601669,中国电建,卖出,5.91,2024-11-08,101806601664.0,1369889591.0
601689,601689,拓普集团,卖出,52.68,2024-11-08,88819804533.0,2478476331.0
601696,601696,中银证券,卖出,12.62,2024-11-08,35058360000.0,1421182984.0
601698,601698,中国卫通,卖出,22.44,2024-11-08,94795208645.0,1903890505.0
601727,601727,上海电气,卖出,12.3,2024-11-08,191631651832.0,18568694994.0
601888,601888,中国中免,卖出,75.8,2024-11-08,156819515535.0,3467246710.0
601901,601901,方正证券,卖出,9.61,2024-11-08,79110494406.0,3372861323.0
601916,601916,浙商银行,买入,2.91,2024-11-08,79922090652.0,520130620.0
601989,601989,中国重工,买入,5.2,2024-11-08,118570583685.0,1107663160.0
601997,601997,贵阳银行,买入,6.16,2024-11-08,22522180148.0,369413217.0
601998,601998,中信银行,买入,6.74,2024-11-08,361509684310.0,383249451.0
603019,603019,中科曙光,卖出,79.44,2024-11-08,116241682945.0,11353726058.0
603083,603083,剑桥科技,卖出,52.06,2024-11-08,13954258242.0,4095848596.0
603099,603099,长白山,卖出,43.56,2024-11-08,11616145200.0,1809458347.0
603106,603106,恒银科技,卖出,10.33,2024-11-08,5376971600.0,491270320.0
603131,603131,上海沪工,卖出,20.5,2024-11-08,6518813778.0,688982208.0
603195,603195,公牛集团,买入,76.47,2024-11-08,98835808107.0,298615021.0
603198,603198,迎驾贡酒,买入,65.58,2024-11-08,52464000000.0,680500966.0
